"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor.nlogo"
"vary-vision"
"02/18/2016 02:20:55:036 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","11","48359.38810049369"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","5","34667.17190000377"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","16","61318.735117012664"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","11","40433.78030944343"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","6","41778.64983746698"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","12","51010.553301977394"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","12","42525.4351290491"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","17","63624.932039249594"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","7","47447.34579918062"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","13","56130.236906969796"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","18","67165.67935446877"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","14","57011.775501895325"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","13","44721.345520354516"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","8","52585.59859033784"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","15","60881.25640864344"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","9","56857.335154819855"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","19","68874.16003075623"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","16","64197.42344357162"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","10","64239.51898712193"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","14","49130.525774017915"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","20","70034.3952495109"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","11","68185.49226942252"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","15","50985.43125483554"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","21","75386.972604412"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","17","69617.24761108914"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","12","73082.06460960246"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","16","55487.930809241974"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","18","72051.1080339889"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","13","74785.47236200317"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","22","76421.46181594492"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","19","73494.53488364804"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","14","77806.63445568815"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","17","58918.858204900964"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","23","82011.41251526261"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","20","74506.64309794868"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","15","83291.70905592373"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","18","59079.364396651035"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","16","87705.33196064077"
"8","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","24","83704.37095312683"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","21","70931.49283051"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","19","60454.27513345857"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","17","93942.52483271634"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","20","61936.442275132344"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","22","71635.74665485507"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","18","96851.87816052113"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","21","61742.607400737565"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","19","100719.22516948904"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","23","76168.80993592282"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","22","62353.83413823176"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","20","105013.93029546565"
"9","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","24","76653.56731508631"
"12","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","0","0"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","23","64566.8435462024"
"13","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","0","0"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","21","107567.55909812253"
"10","0.1","""red""","""radius""","0.01","""exp utility""","100","0","25","24","67711.17623537718"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","22","114836.44250464415"
"13","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","1","7459.8980107364405"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","23","117448.40460870064"
"13","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","2","14885.325611379636"
"11","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","24","117685.26052340666"
"14","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","0","0"
"13","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","3","22407.961579775227"
"14","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","1","7145.770323096513"
"12","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","1","7365.343391513801"
"14","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","2","15043.301840179685"
"13","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","4","28638.19298202077"
"15","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","0","0"
"14","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","3","23081.65782240702"
"12","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","2","14168.777118731088"
"15","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","1","7347.6051482475505"
"12","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","3","20848.555515626307"
"15","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","2","14491.914333408226"
"14","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","4","28010.487590141383"
"12","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","4","28377.62145440217"
"15","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","3","21003.88828258707"
"13","0.1","""red""","""radius""","0.01","""exp utility""","100","1","25","5","35642.470522246535"
