"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_satisfice.nlogo"
"satisfice"
"02/23/2016 06:07:46:556 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","color-patches-by","failure-min","wealth-increase-threshold","sense-radius","vision-mode","profit-multiplier","max-ticks","num-investors","risk-multiplier","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [current-utility] of turtles"
"64","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","89914.46239444173","321.61584814321475"
"65","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","89364.27097790627","163.14509024159182"
"66","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","86082.22042377188","233.44652336580373"
"60","0.1","""exp utility""","0.01","0.02","10","""neighbors""","1","25","100","1","""wealth""","24","89883.42947459217","246.7961993156437"
"68","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","82990.4684255012","239.99253827716126"
"69","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","75919.37056523262","46.11123639492488"
"71","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","89166.06100832683","151.8575806233919"
"67","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","84292.09856415306","226.66271666554348"
"72","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","77111.433152615","235.167084808941"
"70","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","96621.51309984116","205.93578401273106"
"73","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","82693.18199329036","108.992420093793"
"74","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","79391.56699842977","217.75744371442954"
"75","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","87308.88422581348","221.5035596420321"
"76","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","83730.94118650658","257.9320577280804"
"77","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","82481.0447381265","340.6007751202305"
"78","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","82735.60033949639","109.76974929948113"
"79","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","81694.4915222175","159.92548423597586"
"80","0.1","""exp utility""","0.01","0.03","10","""neighbors""","1","25","100","1","""wealth""","24","72214.01355401435","207.68898189135"
"81","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","80300.39373244089","278.80326315923844"
"82","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","90613.83159633396","95.84492164164323"
"84","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","80663.71709252524","260.213752310133"
"85","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","85949.9104202202","183.47717219111905"
"87","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","85708.43043985325","184.728744591071"
"86","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","86270.17183620897","194.56773107006714"
"89","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","85651.14873516775","265.443692807128"
"83","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","86683.80335157849","334.3323640656641"
"91","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","76154.6855271392","243.35073517833683"
"88","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","71356.15518521775","158.74550135969935"
"92","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","73520.92472662641","127.01072101804807"
"93","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","69720.25442654603","445.96884561495375"
"94","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","96637.41040407466","281.837523824437"
"96","0.1","""exp utility""","0.01","0.04","10","""neighbors""","1","25","100","1","""wealth""","24","78159.52490787557","178.3391293352948"
