"BehaviorSpace results (NetLogo 5.3)"
"Flocking.nlogo"
"experiment"
"02/10/2016 23:22:21:473 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","max-separate-turn","population","max-align-turn","max-cohere-turn","vision","minimum-separation","[step]","count turtles with [any? flockmates]","mean [count flockmates] of turtles","mean [min [distance myself] of other turtles] of turtles","standard-deviation [heading] of turtles"
"4","1.5","300","5","3","3","1","8","260","2.0533333333333332","1.8575554282251099","98.41556485641496"
"3","1.5","300","5","3","3","1","7","245","1.7466666666666666","2.0297019092618394","109.47047263258662"
"1","1.5","300","5","3","3","1","9","246","1.76","2.0047089296041225","109.82677669173577"
"4","1.5","300","5","3","3","1","9","262","2.12","1.857056259639365","98.05112460942115"
"3","1.5","300","5","3","3","1","8","256","1.9533333333333334","1.944038555821623","109.29503161111805"
"1","1.5","300","5","3","3","1","10","253","1.7066666666666668","2.0221070512740598","109.8384984907779"
"4","1.5","300","5","3","3","1","10","261","2.12","1.9871235481216933","97.88539688567694"
"3","1.5","300","5","3","3","1","9","255","1.94","1.9623864310726618","109.53971747008138"
"3","1.5","300","5","3","3","1","10","254","1.9466666666666668","1.9939927452389066","110.20269731100083"
"1","1.5","300","5","3","3","1","11","248","1.7666666666666666","1.9264358699832045","109.97797593482665"
"3","1.5","300","5","3","3","1","11","252","1.8866666666666667","1.9452865793699168","110.47460022088912"
"4","1.5","300","5","3","3","1","11","257","2.2","1.9001880989777165","97.68566852505093"
"1","1.5","300","5","3","3","1","12","246","1.8466666666666667","1.91041001506621","109.78146561718762"
"4","1.5","300","5","3","3","1","12","256","2.0733333333333333","1.8646325547262532","97.27262103223595"
"1","1.5","300","5","3","3","1","13","260","1.9533333333333334","1.868588125202884","110.11019757037904"
"4","1.5","300","5","3","3","1","13","266","2.1533333333333333","1.8695930078628207","96.84584129506244"
"1","1.5","300","5","3","3","1","14","262","1.9933333333333334","1.965982587365813","110.0092464482245"
"4","1.5","300","5","3","3","1","14","269","2.1266666666666665","1.8883805506416786","96.86540593507193"
"3","1.5","300","5","3","3","1","12","262","2.013333333333333","1.876641280968485","110.41385111106666"
"1","1.5","300","5","3","3","1","15","263","2","1.9816653408901748","110.15784955048049"
"4","1.5","300","5","3","3","1","15","259","2.066666666666667","1.8655088721344175","96.59706968023269"
"3","1.5","300","5","3","3","1","13","265","2.12","1.907680159450169","110.63152890728769"
"4","1.5","300","5","3","3","1","16","255","2.066666666666667","1.897990483345612","96.86129457328995"
"1","1.5","300","5","3","3","1","16","258","2.033333333333333","1.9166001806930983","110.15129867649352"
"3","1.5","300","5","3","3","1","14","263","2.1","1.8724696551777713","111.00485319940329"
"4","1.5","300","5","3","3","1","17","263","2.2666666666666666","1.892162879119457","97.57292332630934"
"1","1.5","300","5","3","3","1","17","259","2.1933333333333334","1.8951139113573914","110.21721502889127"
"3","1.5","300","5","3","3","1","15","263","2.013333333333333","1.8523993525627733","111.04521997305915"
"2","1.5","300","5","3","3","1","1","241","1.66","1.9931912207944606","105.92030100650831"
"3","1.5","300","5","3","3","1","16","268","2.2066666666666666","1.8334617205914159","111.35477977494499"
"1","1.5","300","5","3","3","1","18","251","2.2933333333333334","1.879697373322971","110.15122007358318"
"4","1.5","300","5","3","3","1","18","262","2.28","1.867712776123057","97.46735577528004"
"3","1.5","300","5","3","3","1","17","259","2.18","1.8238237079838382","111.19817599146613"
"1","1.5","300","5","3","3","1","19","259","2.3","1.8244741073642265","110.60151534381319"
"4","1.5","300","5","3","3","1","19","258","2.2866666666666666","1.832417154386615","97.16759247014171"
"3","1.5","300","5","3","3","1","18","269","2.2933333333333334","1.8125720127581997","111.78670969364761"
"4","1.5","300","5","3","3","1","20","262","2.48","1.8218420790448966","97.28024384583303"
"1","1.5","300","5","3","3","1","20","269","2.28","1.7965993985869484","111.05133262597717"
"4","1.5","300","5","3","3","1","21","264","2.4066666666666667","1.8354046643010857","97.22946347633544"
"1","1.5","300","5","3","3","1","21","271","2.2133333333333334","1.8143880800175827","111.49414811605506"
