"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_for_ch_11.nlogo"
"vary-risk"
"02/23/2016 04:30:19:519 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"83","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","116068.49666964241","7030.352831796656","0.04114077712522144"
"86","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","116935.02824429549","7210.558511851188","0.03995359374272214"
"84","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","111500.76229963292","7343.008419322649","0.04916543435785149"
"85","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","113923.74778306844","7068.0788981050355","0.044530306573122715"
"88","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","118878.8276967573","7417.550505004803","0.04267589280039215"
"87","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","103627.21044453442","6978.478564133278","0.049081734266229804"
"89","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","108006.71768443668","7259.896594728469","0.04134467011038896"
"90","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","117204.66502152216","6753.11369588022","0.04220386699724532"
"91","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","108668.9799846695","6842.998836048093","0.04023650196936212"
"92","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","101602.92550506028","7063.356494458369","0.04211114258918543"
"94","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","119792.2645619468","7276.935949297758","0.04254393846965778"
"93","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","114411.78445470399","7180.068474573049","0.04542782686227365"
"95","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","104837.26053402746","7395.116904067268","0.048685395569353904"
"96","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","113866.63145983526","6934.344996927155","0.04184790143109382"
"97","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","115755.42474668552","7197.613268676048","0.04317458908723173"
"98","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","104276.22254435626","7307.948511023209","0.04768344023865879"
"99","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","121859.89025721309","7321.477110201107","0.041832475058063236"
"101","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","111980.44603355003","6813.612829871531","0.04240178188248201"
"102","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","101696.56241647247","7021.951168614641","0.04826764649553774"
"100","25","""neighbors""","10","0.01","1.4","""exp utility""","100","1","0.1","""wealth""","24","113519.51582966707","7301.740087943159","0.04031623092255166"
"103","25","""neighbors""","10","0.01","1.5","""exp utility""","100","1","0.1","""wealth""","24","103745.07530366437","7417.900410370245","0.05116989142434565"
