"BehaviorSpace results (NetLogo 5.3)"
"BusinessInvestor_for_ch_11.nlogo"
"vary-profit"
"02/23/2016 04:29:22:553 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"59","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","73367.18444421922","4534.530989462506","0.036389161341198115"
"57","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","80559.86545191058","4592.796972680506","0.03491993276311572"
"58","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","79343.83388705767","4560.639797577203","0.03337266157880071"
"61","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","85291.46309246421","4710.692574380861","0.031215226159107008"
"62","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","87767.7418065641","4875.833944679298","0.029932062963990237"
"60","25","""neighbors""","10","0.01","1","""exp utility""","100","0.6","0.1","""wealth""","24","72343.5897846387","4395.798946599658","0.03416916358798686"
"63","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","83987.77090776153","4459.028241016854","0.03293718367756616"
"65","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","83467.58181641596","4786.97257942615","0.0342087125872072"
"64","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","85894.4072629256","4746.417984059206","0.030376153480576193"
"67","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","87444.78569822166","4857.230247863193","0.03307745699415757"
"66","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","92942.80770986821","4723.831852309009","0.029060802791244386"
"68","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","85194.30333816413","4916.576571403502","0.03204957738937363"
"69","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","85229.334476065","4756.292657140203","0.03579719150947455"
"70","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","80145.54969883738","4875.49531187358","0.03366909137950872"
"71","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","85076.40855843057","4722.086953657061","0.031364825806019375"
"72","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","77350.11552192466","4759.254064407668","0.03581082167172221"
"74","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","87641.18038963209","4624.154718163424","0.027514411576180953"
"73","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","84158.64239011193","4922.310370019445","0.032945941485806006"
"75","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","87547.03019429499","4672.071514461199","0.031041718931235085"
"76","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","82598.0883176787","4784.914467552099","0.03319312197619606"
"77","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","74310.2336832773","4709.657575737079","0.03429953753433258"
"78","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","76590.90977828686","4833.546445884974","0.03475448772263515"
"79","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","83394.65751223495","4750.535481182204","0.032795543260247896"
"80","25","""neighbors""","10","0.01","1","""exp utility""","100","0.65","0.1","""wealth""","24","86286.77903037045","4803.075450299693","0.030401363502714055"
"81","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","94320.97982136573","4979.592381336989","0.030524931035076582"
"84","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","93598.83474720157","5218.809393842065","0.03478483536320902"
"82","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","98296.07831488976","5096.289435301347","0.031807389750361834"
"83","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","80887.20166011456","5124.23767560513","0.032244519079940186"
"85","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","88418.29647736037","5281.012503625546","0.03564219254511722"
"86","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","98602.17855122434","5035.7751331010395","0.03126740327308303"
"87","25","""neighbors""","10","0.01","1","""exp utility""","100","0.7","0.1","""wealth""","24","94270.47729097199","4894.652687957944","0.03115144955336748"
